Word,NER
EU,B-ORG
German,B-MISC
British,B-MISC
Peter,B-PER
Blackburn,I-PER
BRUSSELS,B-LOC
European,B-ORG
Commission,I-ORG
German,B-MISC
British,B-MISC
Germany,B-LOC
European,B-ORG
Union,I-ORG
Werner,B-PER
Zwingmann,I-PER
Britain,B-LOC
Commission,B-ORG
Nikolaus,B-PER
van,I-PER
der,I-PER
Pas,I-PER
European,B-ORG
Union,I-ORG
EU,B-ORG
Franz,B-PER
Fischler,I-PER
Fischler,B-PER
EU wide,B-MISC
Britain,B-LOC
France,B-LOC
Bovine,B-MISC
Spongiform,I-MISC
Encephalopathy,I-MISC
BSE,B-MISC
Fischler,B-PER
EU,B-ORG
Spanish,B-MISC
Loyola,B-PER
de,I-PER
Palacio,I-PER
Fischler,B-PER
EU,B-ORG
France,B-LOC
Britain,B-LOC
Fischler,B-PER
EU,B-ORG
BSE,B-MISC
British,B-MISC
German,B-MISC
British,B-MISC
Europe,B-LOC
Germany,B-LOC
Welsh,B-ORG
National,I-ORG
Farmers,I-ORG
Union,I-ORG
NFU,B-ORG
John,B-PER
Lloyd,I-PER
Jones,I-PER
BBC,B-ORG
radio,I-ORG
Bonn,B-LOC
British,B-MISC
Germany,B-LOC
Britain,B-LOC
British,B-MISC
Hendrix,B-PER
LONDON,B-LOC
U S ,B-LOC
Jimi,B-PER
Hendrix,I-PER
Florida,B-LOC
Ai,B-MISC
n t,I-MISC
telling,I-MISC
Hendrix,B-PER
London,B-LOC
English,B-MISC
Nottingham,B-LOC
Hendrix,B-PER
Kathy,B-PER
Etchingham,I-PER
Hendrix,B-PER
Australian,B-MISC
China,B-LOC
Taiwan,B-LOC
BEIJING,B-LOC
China,B-LOC
Taipei,B-LOC
Taiwan,B-LOC
Strait,I-LOC
Ukraine,B-LOC
Taiwanese,B-MISC
Lien,B-PER
Chan,I-PER
Beijing,B-LOC
Chinese,B-MISC
Taiwan,B-LOC
Foreign,B-ORG
Ministry,I-ORG
Shen,B-PER
Guofang,I-PER
Reuters,B-ORG
Taiwan,B-LOC
China,B-LOC
Taipei,B-LOC
Tang,B-PER
Shubei,I-PER
Taiwan,B-LOC
People,B-ORG
 s,I-ORG
Daily,I-ORG
Tang,B-PER
Shen,B-ORG
Reuters,B-ORG
Television,I-ORG
Tang,B-PER
Taiwan,B-LOC
Beijing,B-LOC
China,B-LOC
Taipei,B-LOC
Ukraine,B-LOC
Taiwanese,B-MISC
Lien,B-PER
China,B-LOC
Taiwan,B-LOC
BEIJING,B-LOC
China,B-LOC
Taiwan,B-LOC
Xinhua,B-ORG
Tang,B-PER
Shubei,I-PER
Association,B-ORG
Relations,I-ORG
Across,I-ORG
Taiwan,I-ORG
Straits,I-ORG
German,B-MISC
FRANKFURT,B-LOC
German,B-MISC
Federal,B-ORG
office,I-ORG
motor,I-ORG
vehicles,I-ORG
Germans,B-MISC
German,B-MISC
German,B-MISC
Volkswagen,B-ORG
AG,I-ORG
Opel,B-ORG
AG,I-ORG
General,B-ORG
Motors,I-ORG
Ford,B-ORG
Seat,B-ORG
Porsche,B-ORG
Seat,B-ORG
Porsche,B-ORG
GREEK,B-MISC
ATHENS,B-LOC
Greek,B-MISC
Costas,B-PER
Simitis,I-PER
Costas,B-PER
Skandalidis,I-PER
Costas,B-PER
Simitis,I-PER
Skandalidis,B-PER
Dimitris,B-PER
Kontogiannis,I-PER
Athens,B-ORG
Newsroom,I-ORG
BayerVB,B-ORG
C ,B-MISC
LONDON,B-LOC
Toronto,B-PER
Dominion,I-PER
BAYERISCHE,B-ORG
VEREINSBANK,I-ORG
C ,B-MISC
S P,B-ORG
US,B-LOC
UK,B-LOC
CA,B-LOC
GERMAN,B-MISC
BAYERISCHE,B-ORG
VEREINSBANK,I-ORG
London,B-ORG
Newsroom,I-ORG
Venantius,B-ORG
LONDON,B-LOC
Lehman,B-ORG
Brothers,I-ORG
International,I-ORG
VENANTIUS,B-ORG
AB,I-ORG
SWEDISH,B-MISC
3M,B-ORG
S P,B-ORG
LONDON,B-LOC
US,B-LOC
UK,B-LOC
JP,B-LOC
FR,B-LOC
ENGLISH,B-MISC
SWEDEN,B-LOC
London,B-ORG
Newsroom,I-ORG
Syria,B-LOC
Lloyds,B-ORG
Shipping,I-ORG
Lloyds,B-ORG
Shipping,I-ORG
Intelligence,I-ORG
Service,I-ORG
LATTAKIA,B-LOC
Lattakia,B-LOC
Tartous,B-LOC
Israel,B-LOC
Syria,B-LOC
Colleen,B-PER
Siegel,I-PER
JERUSALEM,B-LOC
Israel,B-LOC
Syria,B-LOC
Itamar,B-PER
Rabinovich,I-PER
Israel,B-LOC
Washington,B-LOC
Syria,B-LOC
Israel,B-ORG
Radio,I-ORG
Damascus,B-LOC
Syrian,B-MISC
Syrians,B-MISC
Washington,B-LOC
Rabinovich,B-PER
Eliahu,B-PER
Ben Elissar,I-PER
Israeli,B-MISC
Egypt,B-LOC
Likud,B-ORG
Israel,B-LOC
Syria,B-LOC
Washington,B-LOC
Damascus,B-LOC
Syria,B-LOC
Israel,B-LOC
Israeli,B-MISC
Damascus,B-LOC
Syrian,B-MISC
Hafez,B-PER
al ,I-PER
Assad,B-PER
Israel,B-LOC
Israeli,B-MISC
David,B-PER
Levy,I-PER
Israel,B-ORG
Radio,I-ORG
Israeli,B-MISC
Benjamin,B-PER
Netanyahu,I-PER
Golan,B-LOC
Heights,I-LOC
Israel,B-LOC
Syria,B-LOC
Middle,B-LOC
East,I-LOC
Israeli Syrian,B-MISC
Golan,B-LOC
Golan,B-LOC
Damascus,B-LOC
Levy,B-PER
Syria,B-LOC
Israel,B-LOC
God,B-PER
Israel,B-LOC
Channel,B-ORG
Two,I-ORG
Damascus,B-LOC
Israel,B-LOC
Netanyahu,B-PER
Levy,B-PER
Netanyahu,B-PER
Syria,B-LOC
Cairo,B-LOC
United,B-LOC
States,I-LOC
Moscow,B-LOC
Polish,B-MISC
Libya,B-LOC
TUNIS,B-LOC
Polish,B-MISC
Polish,B-MISC
Libya,B-LOC
Polish,B-MISC
North,B-MISC
African,I-MISC
Libya,B-LOC
Polish,B-MISC
Tripoli,B-LOC
Tadeusz,B-PER
Awdankiewicz,I-PER
Reuters,B-ORG
Poland,B-LOC
Libya,B-LOC
Awdankiewicz,B-PER
Polish,B-MISC
Libya,B-LOC
Iranian,B-MISC
Baghdad,B-LOC
Hassan,B-PER
Hafidh,I-PER
BAGHDAD,B-LOC
Iranian,B-MISC
Iraq,B-LOC
Iran,B-LOC
Kurdish,B-MISC
Iranian,B-MISC
Iraq,B-LOC
Mujahideen,B-ORG
Khalq,I-ORG
Massoud,B-PER
Rajavi,I-PER
Baghdad,B-LOC
Kurdistan,B-ORG
Democratic,I-ORG
Party,I-ORG
Iran,I-ORG
KDPI,B-ORG
Hassan,B-PER
Rastegar,I-PER
Iran,B-LOC
Kurds,B-MISC
Rajavi,B-MISC
Iranian,B-MISC
Resistance,B-ORG
Kurdish,B-MISC
Iranian,B-LOC
Kurdistan,I-LOC
Mujahideen,B-ORG
Khalq,I-ORG
Iranian,B-MISC
Kurdish,I-MISC
Iran,B-LOC
Iraq,B-LOC
KDPI,B-ORG
Iraqi,B-MISC
Kurdish,I-MISC
Baghdad,B-LOC
Iraqi,B-MISC
Kurdish,I-MISC
Iran,B-LOC
Iraqi,B-ORG
Kurdish,I-ORG
Patriotic,I-ORG
Union,I-ORG
Kurdistan,I-ORG
PUK,B-ORG
PUK,B-ORG
Iraq,B-LOC
Kurdistan,B-ORG
Democratic,I-ORG
Party,I-ORG
KDP,B-ORG
Iraqi,B-MISC
Kurdish,I-MISC
Iraq,B-LOC
Iraqi,B-MISC
Kuwait,B-LOC
Gulf,B-MISC
War,I-MISC
U S  sponsored,B-MISC
Mujahideen,B-ORG
Khalq,I-ORG
Iranian,B-MISC
KDP,B-ORG
Qasri,B-LOC
Suleimaniya,B-LOC
Iranian,B-MISC
Iraqi,B-MISC
Kurds,I-MISC
Iran,B-LOC
